"","parameter","date","stream","priorMean","priorSD","postL95","postMedian","postU95","julian"
"1144","ER",2015-08-04,"st9",-3.115914305,0.778978576,-4.517432246,-3.040557512,-1.585834628,216
"1145","ER",2015-08-05,"st9",-4.492068473,1.123017118,-6.459428367,-4.330344444,-2.374780436,217
"1146","ER",2015-08-06,"st9",-6.459436116,1.614859029,-9.610308325,-6.443334061,-3.337045514,218
"1147","ER",2015-08-07,"st9",-7.691528866,1.922882217,-11.15655486,-7.538572567,-4.23634608,219
"1148","ER",2015-08-08,"st9",-7.522058845,1.880514711,-10.97673911,-7.436691252,-3.950967728,220
"1149","ER",2015-08-09,"st9",-7.262968337,1.815742084,-10.84406399,-7.348895476,-3.66785907,221
"1150","ER",2016-07-01,"st9",-22.73527677,5.683819192,-34.39613265,-23.0700192,-12.60725764,183
"1151","ER",2016-07-02,"st9",-22.84466692,5.71116673,-33.73476617,-22.12289748,-12.29428884,184
"1152","ER",2016-07-03,"st9",-21.76881566,5.442203916,-32.70421596,-22.33204757,-11.87662528,185
"1153","ER",2016-07-04,"st9",-22.74619307,5.686548268,-34.47825391,-23.47785521,-12.25751606,186
"1154","ER",2016-07-05,"st9",-23.73212627,5.933031566,-35.61504992,-23.79411322,-13.11332383,187
"1155","ER",2016-07-06,"st9",-23.56903466,5.892258666,-34.98149509,-24.07211947,-13.66695453,188
"1156","ER",2016-07-07,"st9",-23.99462265,5.998655663,-35.61035118,-24.29058742,-13.1659482,189
"1157","ER",2016-07-08,"st9",-24.96384774,6.240961934,-36.83455272,-24.62284174,-12.43797247,190
"1158","ER",2016-07-09,"st9",-23.60317758,5.900794394,-35.13100801,-23.63605682,-13.21831913,191
"1159","ER",2016-07-10,"st9",-23.20414613,5.801036531,-33.99147397,-23.39107151,-12.46812409,192
"1160","ER",2016-07-11,"st9",-21.44239153,5.360597882,-30.31921839,-20.38431062,-11.21333254,193
"1161","ER",2016-07-12,"st9",-22.40534395,5.601335988,-32.91494833,-22.48526212,-12.4244711,194
"1162","ER",2016-07-13,"st9",-21.95860415,5.489651037,-31.49210802,-22.33610407,-12.99110115,195
"1163","ER",2016-07-14,"st9",-22.56604592,5.64151148,-32.95256338,-21.96101244,-10.88130487,196
"1164","ER",2016-07-15,"st9",-20.2393404,5.0598351,-29.96232302,-20.42127792,-10.49513122,197
"1165","ER",2016-07-16,"st9",-20.98240087,5.245600218,-30.72426227,-21.46904493,-11.8860504,198
"1166","ER",2016-07-17,"st9",-18.31943741,4.579859352,-27.66667234,-18.2110176,-9.909503401,199
"1167","ER",2016-07-18,"st9",-12.5506567,3.137664174,-18.43357057,-12.6875602,-6.661346607,200
"1168","ER",2016-07-19,"st9",-12.63438902,3.158597256,-19.05108207,-13.03628929,-6.636510982,201
"1169","ER",2016-07-20,"st9",-9.541434944,2.385358736,-13.53394537,-9.349364323,-4.623055566,202
"1170","ER",2016-07-21,"st9",-12.06184253,3.015460632,-18.28301836,-12.02539553,-6.171285041,203
"1171","ER",2016-07-22,"st9",-12.48457505,3.121143763,-18.79544451,-12.40013673,-6.562582177,204
"1172","ER",2016-07-23,"st9",-10.6802457,2.670061424,-15.7318923,-10.75699076,-5.897287586,205
"1173","ER",2016-07-24,"st9",-9.139392452,2.284848113,-13.45047924,-9.046542921,-4.993240855,206
"1174","ER",2016-07-25,"st9",-9.171881852,2.292970463,-13.13638472,-8.875753548,-4.67829309,207
"1175","ER",2016-07-26,"st9",-9.796703385,2.449175846,-14.3265376,-9.754164592,-5.006314707,208
"1176","ER",2016-07-27,"st9",-11.29335549,2.823338872,-16.8515545,-11.28575669,-5.822024507,209
"1177","ER",2016-07-28,"st9",-11.49398778,2.873496946,-16.50845234,-11.37261513,-6.404212537,210
"1178","ER",2016-07-29,"st9",-14.08442659,3.521106647,-20.24357312,-14.26754043,-8.108813618,211
"1179","ER",2016-07-30,"st9",-13.98293719,3.495734299,-19.95925411,-13.57892132,-6.995476372,212
"1180","ER",2016-07-31,"st9",-15.84258429,3.960646073,-23.75352199,-16.14191085,-8.838864468,213
"1181","ER",2016-08-01,"st9",-17.88165814,4.470414535,-27.2991454,-18.45344305,-9.641925368,214
"1182","ER",2016-08-02,"st9",-19.41934003,4.854835009,-28.33151536,-19.20736884,-10.32512443,215
"1183","ER",2016-08-03,"st9",-17.55656889,4.389142222,-26.2309014,-17.66704008,-9.666211883,216
"1184","ER",2016-08-04,"st9",-18.09659434,4.524148584,-27.11346883,-18.33696644,-9.790177711,217
"1185","ER",2016-08-05,"st9",-19.007437,4.751859249,-28.42846422,-19.34225538,-9.698945857,218
"1186","ER",2016-08-06,"st9",-18.05249255,4.513123138,-26.74045491,-18.06215188,-9.180267433,219
"1187","ER",2016-08-07,"st9",-19.81840253,4.954600633,-28.76301874,-19.51145686,-10.3132589,220
"1188","ER",2016-08-08,"st9",-22.93280961,5.733202403,-33.60320221,-22.6717642,-11.94394016,221
"1189","ER",2016-08-09,"st9",-24.33908373,6.084770932,-35.40203031,-23.81025356,-12.90936416,222
"1190","ER",2016-08-10,"st9",-25.04601793,6.261504482,-36.11279832,-24.3288687,-12.609371,223
"1191","ER",2016-08-11,"st9",-19.89223089,4.973057723,-28.53677097,-19.50578797,-10.03160468,224
"1192","ER",2017-07-02,"st9",-28.85612569,7.214031422,-41.58862661,-28.50743671,-15.19347651,183
"1193","ER",2017-07-03,"st9",-32.63491356,8.158728391,-48.65615389,-32.72444057,-17.69487598,184
"1194","ER",2017-07-04,"st9",-32.36516758,8.091291895,-45.55006845,-31.20738316,-17.22023678,185
"1195","ER",2017-07-05,"st9",-34.25124459,8.562811147,-49.93427884,-34.72812147,-18.75484557,186
"1196","ER",2017-07-06,"st9",-30.67768036,7.66942009,-45.62726503,-31.279718,-17.07454987,187
"1197","ER",2017-07-07,"st9",-29.21679659,7.304199148,-41.5201092,-29.05079851,-16.01683853,188
"1198","ER",2017-07-08,"st9",-31.22455663,7.806139158,-44.89864591,-30.63425591,-17.98677128,189
"1199","ER",2017-07-11,"st9",-27.58402047,6.896005118,-39.82306501,-27.77974301,-14.48031896,192
"1200","ER",2017-07-12,"st9",-28.64651422,7.161628555,-42.47644775,-29.33958229,-16.23966511,193
"1201","ER",2017-07-13,"st9",-27.73933826,6.934834564,-41.02737969,-28.96634435,-16.72242636,194
"1202","ER",2017-07-15,"st9",-23.68248954,5.920622385,-33.4108981,-22.87209119,-11.84829362,196
"1203","ER",2017-07-16,"st9",-22.64520015,5.661300038,-33.80841652,-22.81461409,-11.1302018,197
"1204","ER",2017-07-17,"st9",-21.19487491,5.298718728,-32.07988348,-21.25128464,-11.33654996,198
"1205","ER",2017-07-19,"st9",-20.93494236,5.23373559,-31.25069856,-21.59350048,-10.04377479,200
"1206","ER",2017-07-20,"st9",-19.042618,4.760654499,-28.48273857,-19.06875142,-9.482400453,201
"1207","ER",2017-07-21,"st9",-19.79741178,4.949352945,-29.14053403,-19.5886305,-10.543959,202
"1208","ER",2017-07-22,"st9",-17.3803372,4.345084301,-25.6425745,-17.54424038,-9.43055284,203
"1209","ER",2017-07-23,"st9",-15.75791095,3.939477738,-22.35927409,-15.84297344,-8.796851691,204
"1210","ER",2017-07-24,"st9",-16.3125126,4.07812815,-23.68451393,-16.21853183,-8.765380935,205
"1211","ER",2017-07-25,"st9",-13.79252036,3.448130089,-20.3787447,-13.50902042,-6.760043668,206
"1212","ER",2017-07-26,"st9",-15.41126278,3.852815696,-22.43060994,-15.16752416,-8.478591856,207
"1213","ER",2017-07-27,"st9",-18.95507517,4.738768793,-26.42312819,-18.88029644,-10.65497944,208
"1214","ER",2017-07-28,"st9",-18.27808208,4.56952052,-26.19812294,-18.33447766,-10.0003624,209
"1215","ER",2017-07-29,"st9",-19.75561228,4.938903069,-28.04029901,-19.45785277,-11.21110717,210
"1216","ER",2017-07-30,"st9",-16.56810944,4.14202736,-22.3341993,-14.50341094,-7.283321408,211
"1217","ER",2017-07-31,"st9",-19.90119531,4.975298827,-28.98483564,-19.8312419,-11.3045826,212
"1218","ER",2017-08-01,"st9",-23.24176538,5.810441344,-33.30000338,-22.93624308,-13.62834909,213
"1219","ER",2017-08-02,"st9",-24.07438865,6.018597163,-34.17293459,-23.16152655,-12.10527442,214
"1220","ER",2017-08-03,"st9",-22.56377503,5.640943757,-32.93399874,-22.74165117,-12.71408152,215
"1221","ER",2017-08-04,"st9",-25.29108597,6.322771491,-35.52138827,-25.22629774,-14.2304518,216
"1222","ER",2017-08-05,"st9",-26.3796094,6.59490235,-37.67829722,-26.06122104,-15.23467278,217
"1223","ER",2017-08-06,"st9",-25.40108499,6.350271247,-35.07391179,-25.43266721,-14.6154784,218
"1224","ER",2017-08-07,"st9",-14.93284065,3.733210162,-21.57063422,-14.76521139,-7.863212254,219
"1225","ER",2017-08-08,"st9",-17.3419497,4.335487425,-24.71906001,-17.13204363,-9.303621723,220
"1226","ER",2017-08-09,"st9",-17.93936984,4.484842459,-24.54951233,-17.28073007,-9.848106526,221
"1227","ER",2015-07-02,"st6",-4.59462808,1.14865702,-6.94424626,-4.751109811,-2.345399137,183
"1228","ER",2015-07-03,"st6",-5.327666813,1.331916703,-7.559017414,-5.110545319,-2.786691933,184
"1229","ER",2015-07-04,"st6",-5.775323956,1.443830989,-8.810296172,-5.83731026,-3.083366341,185
"1230","ER",2015-07-05,"st6",-6.404152151,1.601038038,-9.506806601,-6.363660305,-3.058347129,186
"1231","ER",2015-07-06,"st6",-6.172607321,1.54315183,-9.191555515,-6.319265741,-3.118530291,187
"1232","ER",2015-07-07,"st6",-5.814237076,1.453559269,-8.386191719,-5.706217312,-2.908144243,188
"1233","ER",2015-07-08,"st6",-6.898232146,1.724558037,-10.0901911,-6.834236804,-3.26052756,189
"1234","ER",2015-07-09,"st6",-6.453394508,1.613348627,-9.256829778,-6.353987077,-3.053197073,190
"1235","ER",2015-07-10,"st6",-7.260119665,1.815029916,-10.64272427,-7.157053597,-4.0150878,191
"1236","ER",2015-07-11,"st6",-7.11316178,1.778290445,-10.43890454,-7.077466615,-3.658323895,192
"1237","ER",2015-07-12,"st6",-8.363512709,2.090878177,-11.92134729,-8.303136424,-4.260517403,193
"1238","ER",2015-07-13,"st6",-7.005279076,1.751319769,-10.13996156,-6.959209521,-3.700296309,194
"1239","ER",2015-07-14,"st6",-7.280933458,1.820233364,-10.56666295,-7.244653722,-3.782527284,195
"1240","ER",2015-07-15,"st6",-7.689650342,1.922412585,-11.22258407,-7.576695325,-3.806728452,196
"1241","ER",2015-07-16,"st6",-9.110080435,2.277520109,-13.4742327,-9.197952767,-5.147966292,197
"1242","ER",2015-07-17,"st6",-7.846242722,1.96156068,-11.46606381,-7.706184923,-3.99073643,198
"1243","ER",2015-07-18,"st6",-8.706250735,2.176562684,-12.88053938,-8.56054267,-4.374415666,199
"1244","ER",2015-07-19,"st6",-9.278885911,2.319721478,-13.60279884,-9.265110545,-4.887620232,200
"1245","ER",2015-07-20,"st6",-8.468048592,2.117012148,-12.64704516,-8.528266459,-4.6547402,201
"1246","ER",2015-07-21,"st6",-6.762720913,1.690680228,-9.937956394,-6.912884408,-3.833965129,202
"1247","ER",2015-07-22,"st6",-6.671722174,1.667930543,-9.744590229,-6.491256946,-3.342333764,203
"1248","ER",2015-07-23,"st6",-5.610142193,1.402535548,-8.310509368,-5.603034006,-3.039513603,204
"1249","ER",2015-07-24,"st6",-6.301406796,1.575351699,-9.03738487,-6.139879417,-3.200991877,205
"1250","ER",2015-07-25,"st6",-5.961034929,1.490258732,-8.672117896,-5.979148186,-2.962822689,206
"1251","ER",2015-07-26,"st6",-7.53266939,1.883167347,-10.87740473,-7.536016502,-3.818839417,207
"1252","ER",2015-07-27,"st6",-7.898119392,1.974529848,-11.68170125,-7.691032926,-3.849454425,208
"1253","ER",2015-07-28,"st6",-8.316763614,2.079190903,-12.02738088,-8.339458357,-4.280692321,209
"1254","ER",2015-07-29,"st6",-9.458043446,2.364510862,-13.47154268,-9.021569145,-4.867842282,210
"1255","ER",2015-07-30,"st6",-9.52043714,2.380109285,-13.36663595,-9.207780743,-5.020733508,211
"1256","ER",2015-07-31,"st6",-8.016532829,2.004133207,-11.53081186,-7.94950148,-3.773041215,212
"1257","ER",2015-08-01,"st6",-8.244792086,2.061198021,-12.01734543,-8.128380914,-4.444046083,213
"1258","ER",2015-08-02,"st6",-4.810188332,1.202547083,-7.254370179,-4.752484035,-2.577607936,214
"1259","ER",2015-08-03,"st6",-3.109405853,0.777351463,-4.582451454,-3.052161719,-1.562883833,215
"1260","ER",2015-08-04,"st6",-3.880412926,0.970103231,-5.669637049,-3.819968403,-1.981803505,216
"1261","ER",2015-08-05,"st6",-5.77592336,1.44398084,-8.355321532,-5.687885653,-3.231735838,217
"1262","ER",2015-08-06,"st6",-5.928060901,1.482015225,-8.527269252,-5.781576033,-2.84292492,218
"1263","ER",2015-08-07,"st6",-8.482734141,2.120683535,-12.06848331,-8.286425481,-4.385123433,219
"1264","ER",2015-08-08,"st6",-8.361759731,2.090439933,-12.05664334,-8.456771758,-4.744592734,220
"1265","ER",2015-08-09,"st6",-7.939178141,1.984794535,-11.37553566,-7.898984108,-4.486001029,221
"1266","ER",2016-07-01,"st6",-16.15074282,4.037685705,-23.7740183,-15.88380034,-7.732952899,183
"1267","ER",2016-07-02,"st6",-15.17427101,3.793567752,-21.98043597,-14.94191358,-7.440635121,184
"1268","ER",2016-07-03,"st6",-16.52105788,4.130264469,-24.01931129,-16.58438187,-7.999133362,185
"1269","ER",2016-07-04,"st6",-17.07022992,4.267557481,-25.65417482,-17.29436384,-9.099923942,186
"1270","ER",2016-07-05,"st6",-15.46584189,3.866460472,-22.66931559,-15.18442195,-8.234205006,187
"1271","ER",2016-07-06,"st6",-17.42273726,4.355684314,-25.51503599,-17.82706636,-9.575803521,188
"1272","ER",2016-07-07,"st6",-19.31936845,4.829842112,-28.35516862,-19.78748902,-11.37400085,189
"1273","ER",2016-07-08,"st6",-17.78364811,4.445912028,-25.62439557,-17.42605846,-9.701864195,190
"1274","ER",2016-07-09,"st6",-17.72664424,4.431661059,-26.22768021,-17.22069054,-7.791673145,191
"1275","ER",2016-07-10,"st6",-17.35866355,4.339665889,-25.48481303,-17.20539645,-8.584252819,192
"1276","ER",2016-07-11,"st6",-17.13629266,4.284073166,-25.81935586,-17.15038862,-8.077862243,193
"1277","ER",2016-07-12,"st6",-19.22371502,4.805928755,-28.03337423,-19.09824089,-9.924932922,194
"1278","ER",2016-07-13,"st6",-18.9702144,4.742553601,-28.55956548,-19.1496806,-9.743353202,195
"1279","ER",2016-07-14,"st6",-21.10936196,5.27734049,-30.50769117,-21.38993503,-11.71877497,196
"1280","ER",2016-07-15,"st6",-20.46943511,5.117358778,-30.60556236,-20.73862596,-10.5417742,197
"1281","ER",2016-07-16,"st6",-20.54479523,5.136198807,-29.85149592,-20.59290421,-10.73355942,198
"1282","ER",2016-07-17,"st6",-20.62810095,5.157025238,-31.13223929,-21.47487626,-10.99867044,199
"1283","ER",2016-07-18,"st6",-22.69257991,5.673144978,-34.06755839,-23.19029902,-12.3654979,200
"1284","ER",2016-07-19,"st6",-23.57203673,5.893009182,-34.85869097,-23.73813733,-12.46016949,201
"1285","ER",2016-07-20,"st6",-26.8915662,6.72289155,-40.19528819,-27.46017434,-15.27991662,202
"1286","ER",2016-07-21,"st6",-22.22961791,5.557404478,-31.49453957,-22.04182058,-12.00384036,203
"1287","ER",2016-07-22,"st6",-9.532195317,2.383048829,-14.27948315,-9.808073435,-5.351272737,204
"1288","ER",2016-07-23,"st6",-10.5099713,2.627492826,-15.80941007,-10.74273427,-5.706031173,205
"1289","ER",2016-07-24,"st6",-12.38559854,3.096399636,-18.14155864,-12.28226734,-5.84310758,206
"1290","ER",2016-07-25,"st6",-9.421442983,2.355360746,-14.1692861,-9.493925547,-4.799047752,207
"1291","ER",2016-07-26,"st6",-7.221633057,1.805408264,-10.49338859,-7.206331795,-3.730888403,208
"1292","ER",2016-07-27,"st6",-7.302233016,1.825558254,-10.47141634,-7.138122667,-3.797893732,209
"1293","ER",2016-07-28,"st6",-11.47159357,2.867898392,-17.12186358,-11.60905957,-5.638998395,210
"1294","ER",2016-07-29,"st6",-10.75395542,2.688488854,-16.04826115,-10.74233381,-5.878950818,211
"1295","ER",2016-07-30,"st6",-10.86862635,2.717156588,-16.24476705,-10.8137625,-5.55654866,212
"1296","ER",2016-07-31,"st6",-14.61329048,3.65332262,-21.03092664,-14.42698195,-7.763663279,213
"1297","ER",2016-08-01,"st6",-14.26745068,3.566862671,-20.96067676,-14.50983797,-7.278924609,214
"1298","ER",2016-08-02,"st6",-10.90397579,2.725993947,-16.09522449,-10.7861994,-5.787328239,215
"1299","ER",2016-08-03,"st6",-11.1427755,2.785693874,-15.93658803,-10.98964318,-5.316776319,216
"1300","ER",2016-08-04,"st6",-11.98131094,2.995327736,-18.0220396,-12.16464846,-6.521747658,217
"1301","ER",2016-08-05,"st6",-11.08114171,2.770285428,-16.58302733,-11.36276918,-6.059039634,218
"1302","ER",2016-08-06,"st6",-14.81861876,3.704654691,-21.54987839,-14.91709607,-7.673121665,219
"1303","ER",2016-08-07,"st6",-27.76092212,6.940230531,-40.13267208,-27.70933407,-14.56470416,220
"1304","ER",2016-08-08,"st6",-31.15012808,7.787532021,-44.20026955,-29.92332598,-16.13374493,221
"1305","ER",2016-08-09,"st6",-29.53066199,7.382665498,-41.32470271,-28.29682127,-14.84979447,222
"1306","ER",2016-08-10,"st6",-37.22810478,9.307026195,-53.3529437,-38.13557385,-21.76687329,223
"1307","ER",2016-08-11,"st6",-40.83128775,10.20782194,-58.43096279,-40.06411514,-21.48441296,224
"1308","ER",2016-08-12,"st6",-36.82523804,9.20630951,-54.36621699,-36.87474218,-19.46889345,225
"1309","ER",2017-07-02,"st6",-44.46895248,11.11723812,-62.50678958,-44.41830017,-26.38350992,183
"1310","ER",2017-07-03,"st6",-43.21780542,10.80445136,-61.53127978,-42.50277398,-22.40999135,184
"1311","ER",2017-07-04,"st6",-39.62113902,9.905284755,-56.66265785,-39.03933894,-21.90851637,185
"1312","ER",2017-07-05,"st6",-42.5301178,10.63252945,-60.91676206,-42.14621596,-23.04294979,186
"1313","ER",2017-07-06,"st6",-43.41328345,10.85332086,-62.38396109,-44.14411756,-26.02581677,187
"1314","ER",2017-07-07,"st6",-41.16203246,10.29050811,-57.84438151,-41.06511588,-24.18580241,188
"1315","ER",2017-07-11,"st6",-36.42938839,9.107347098,-51.80410762,-36.17633982,-20.74929854,192
"1316","ER",2017-07-12,"st6",-39.72280389,9.930700972,-57.30274195,-40.24494369,-21.8881355,193
"1317","ER",2017-07-13,"st6",-32.43168427,8.107921067,-46.23012659,-32.74842847,-18.68900941,194
"1318","ER",2017-07-14,"st6",-38.94546247,9.736365618,-56.80086681,-39.24372279,-23.36607906,195
"1319","ER",2017-07-15,"st6",-32.76037008,8.190092519,-46.62441059,-32.06501129,-17.40320684,196
"1320","ER",2017-07-16,"st6",-28.96086029,7.240215072,-41.72216458,-29.8474685,-16.91967811,197
"1321","ER",2017-07-17,"st6",-26.01928889,6.504822224,-36.27690748,-25.76322504,-15.40550079,198
"1322","ER",2017-07-18,"st6",-29.02189004,7.255472509,-44.10885854,-29.46439133,-16.82369879,199
"1323","ER",2017-07-19,"st6",-25.03941254,6.259853135,-36.01845242,-24.93309055,-13.41566535,200
"1324","ER",2017-07-20,"st6",-18.00830622,4.502076556,-26.14948713,-18.51458734,-10.50905886,201
"1325","ER",2017-07-21,"st6",-17.80416593,4.451041482,-26.09208169,-17.99972358,-9.870937518,202
"1326","ER",2017-07-22,"st6",-16.96615893,4.241539733,-25.17926319,-17.15464946,-9.918155228,203
"1327","ER",2017-07-23,"st6",-15.7682811,3.942070274,-22.85635233,-16.07093616,-8.632847841,204
"1328","ER",2017-07-24,"st6",-15.4310391,3.857759776,-22.69402285,-15.57722192,-8.498783549,205
"1329","ER",2017-07-25,"st6",-14.39730012,3.599325031,-21.61372326,-14.59550575,-7.485993384,206
"1330","ER",2017-07-26,"st6",-13.43287793,3.358219483,-19.83806598,-13.24372263,-7.118007337,207
"1331","ER",2017-07-27,"st6",-14.15359662,3.538399155,-20.76815986,-14.5605146,-7.742661123,208
"1332","ER",2017-07-28,"st6",-15.40060179,3.850150447,-22.78056635,-15.60320244,-8.487602929,209
"1333","ER",2017-07-29,"st6",-15.67290085,3.918225212,-22.41934939,-15.54213556,-8.783569078,210
"1334","ER",2017-07-30,"st6",-16.21326214,4.053315535,-23.57841315,-16.39713206,-8.181683921,211
"1335","ER",2017-07-31,"st6",-17.62459575,4.406148938,-25.36073972,-17.50284495,-9.721099445,212
"1336","ER",2017-08-01,"st6",-17.32474429,4.331186073,-24.8744835,-17.65648064,-10.0502255,213
"1337","ER",2017-08-02,"st6",-17.60004802,4.400012005,-25.5910651,-17.85124656,-10.020997,214
"1338","ER",2017-08-03,"st6",-18.24774434,4.561936085,-26.41021085,-18.16921941,-10.58522096,215
"1339","ER",2017-08-04,"st6",-20.70325627,5.175814067,-29.85611966,-20.5631094,-10.55166901,216
"1340","ER",2017-08-05,"st6",-22.23095478,5.557738696,-32.57424755,-22.56094676,-13.86747327,217
"1341","ER",2017-08-06,"st6",-25.09085304,6.272713261,-35.81594982,-25.05747197,-14.12253451,218
"1342","ER",2017-08-07,"st6",-27.33720485,6.834301213,-38.59177652,-27.37135175,-15.17101207,219
"1343","ER",2017-08-08,"st6",-30.39469338,7.598673345,-43.48508651,-29.69623328,-16.32777138,220
"1344","ER",2017-08-09,"st6",-32.36769673,8.091924183,-46.54633567,-32.64654853,-19.09950421,221
"1345","K",2015-07-02,"st11U",340,85,188.3715006,341.2689002,504.9322107,183
"1346","K",2015-07-03,"st11U",340,85,171.6170273,347.4296823,526.9979647,184
"1347","K",2015-07-04,"st11U",340,85,178.8131428,337.8524393,493.2616153,185
"1348","K",2015-07-05,"st11U",340,85,186.8191803,335.3047478,495.4928553,186
"1349","K",2015-07-06,"st11U",340,85,184.4976745,344.6845061,508.8641266,187
"1350","K",2015-07-07,"st11U",340,85,192.658079,339.0614013,511.023377,188
"1351","K",2015-07-08,"st11U",340,85,189.1142343,342.2760196,513.9366798,189
"1352","K",2015-07-09,"st11U",340,85,185.8831649,343.1960959,505.8925409,190
"1353","K",2015-07-10,"st11U",340,85,179.1604702,337.8682658,512.0928159,191
"1354","K",2015-07-11,"st11U",340,85,182.2340727,342.9642619,492.8745519,192
"1355","K",2015-07-12,"st11U",340,85,179.2905359,342.1113452,499.3107403,193
"1356","K",2015-07-14,"st11U",340,85,182.476405,336.4698869,511.7087111,195
"1357","K",2015-07-15,"st11U",340,85,201.5199044,347.6110579,504.3831994,196
"1358","K",2015-07-16,"st11U",340,85,184.1550459,348.7905666,497.8848789,197
"1359","K",2015-07-17,"st11U",340,85,194.0448345,353.8113176,516.9080482,198
"1360","K",2015-07-18,"st11U",340,85,197.171175,343.995227,504.2612314,199
"1361","K",2015-07-19,"st11U",340,85,177.974891,338.5869534,488.653409,200
"1362","K",2015-07-20,"st11U",340,85,194.8400636,346.5910495,514.8739521,201
"1363","K",2015-07-21,"st11U",340,85,195.3981915,349.5301484,508.8347641,202
"1364","K",2015-07-22,"st11U",340,85,200.7798093,356.4144086,519.9704019,203
"1365","K",2015-07-23,"st11U",340,85,190.9450255,336.1439883,493.7295984,204
"1366","K",2015-07-24,"st11U",340,85,196.1408413,347.3678435,499.5746847,205
"1367","K",2015-07-25,"st11U",340,85,194.8253493,340.950584,496.3793111,206
"1368","K",2015-07-27,"st11U",340,85,185.9007678,344.8376687,526.714562,208
"1369","K",2015-07-28,"st11U",340,85,190.0422038,344.2085175,499.2232446,209
"1370","K",2015-07-29,"st11U",340,85,192.2209662,337.9320729,497.904728,210
"1371","K",2015-07-30,"st11U",340,85,207.250545,350.9125805,505.7668991,211
"1372","K",2015-07-31,"st11U",340,85,197.8454633,336.0539796,485.0631132,212
"1373","K",2015-08-01,"st11U",340,85,202.8149412,339.9266887,499.8855367,213
"1374","K",2015-08-02,"st11U",340,85,200.8473487,349.0118844,497.7316402,214
"1375","K",2015-08-03,"st11U",340,85,198.1248506,345.0161781,497.7934282,215
"1376","K",2015-08-04,"st11U",340,85,194.7218625,339.0290853,485.8098114,216
"1377","K",2015-08-05,"st11U",340,85,209.0545306,347.2184988,496.2886224,217
"1378","K",2015-08-06,"st11U",340,85,181.8292718,321.3244986,470.3913636,218
"1379","K",2015-08-07,"st11U",340,85,196.1367189,343.6876989,494.0583862,219
"1380","K",2015-08-08,"st11U",340,85,197.115495,349.0232523,496.766711,220
"1381","K",2015-08-09,"st11U",340,85,206.9180002,342.5295237,487.3390551,221
"1382","K",2016-07-01,"st11U",340,85,187.0199771,343.2168645,497.8088778,183
"1383","K",2016-07-02,"st11U",340,85,186.1395037,349.9368093,508.7338998,184
"1384","K",2016-07-03,"st11U",340,85,182.2476399,343.1180862,491.0404129,185
"1385","K",2016-07-04,"st11U",340,85,185.6886565,338.9442498,510.0596211,186
"1386","K",2016-07-05,"st11U",340,85,197.807205,343.7448141,497.966749,187
"1387","K",2016-07-06,"st11U",340,85,205.1413866,341.6427496,487.5995436,188
"1388","K",2016-07-07,"st11U",340,85,213.724578,345.8774139,493.3858687,189
"1389","K",2016-07-08,"st11U",340,85,206.095242,354.3920505,508.2678376,190
"1390","K",2016-07-09,"st11U",340,85,211.5943316,355.6840883,503.6044086,191
"1391","K",2016-07-10,"st11U",340,85,199.2313611,351.5661994,498.3736043,192
"1392","K",2016-07-11,"st11U",340,85,195.1022282,343.08001,498.9560344,193
"1393","K",2016-07-12,"st11U",340,85,200.2975976,341.3325656,495.8968853,194
"1394","K",2016-07-13,"st11U",340,85,209.3755321,346.6676451,498.3162132,195
"1395","K",2016-07-14,"st11U",340,85,208.2280525,356.2508534,506.7005144,196
"1396","K",2016-07-15,"st11U",340,85,199.8512142,347.387299,502.5193677,197
"1397","K",2016-07-16,"st11U",340,85,214.6178569,346.383109,500.2707379,198
"1398","K",2016-07-17,"st11U",340,85,208.5420074,344.6310706,505.4612395,199
"1399","K",2016-07-18,"st11U",340,85,201.2369702,334.017769,473.8539307,200
"1400","K",2016-07-19,"st11U",340,85,210.9834399,346.8598182,481.703139,201
"1401","K",2016-07-20,"st11U",340,85,218.7570101,341.349292,487.6857216,202
"1402","K",2016-07-21,"st11U",340,85,197.2003074,338.2583586,500.1076574,203
"1403","K",2016-07-22,"st11U",340,85,200.9420705,348.0585259,493.3832462,204
"1404","K",2016-07-23,"st11U",340,85,215.5179091,338.6494834,483.8876564,205
"1405","K",2016-07-24,"st11U",340,85,200.1472857,342.4979468,495.7529518,206
"1406","K",2016-07-25,"st11U",340,85,194.2088463,344.4678256,498.8815157,207
"1407","K",2016-07-26,"st11U",340,85,214.3268011,350.6258733,489.2565884,208
"1408","K",2016-07-27,"st11U",340,85,209.6854984,342.29043,478.2232037,209
"1409","K",2016-07-28,"st11U",340,85,208.7169786,338.0815725,478.0412919,210
"1410","K",2016-07-29,"st11U",340,85,206.3181697,331.6358073,465.2429635,211
"1411","K",2016-07-30,"st11U",340,85,216.8418209,340.9116667,480.1795405,212
"1412","K",2016-07-31,"st11U",340,85,209.4375912,338.1722087,490.8736418,213
"1413","K",2017-07-02,"st11U",340,85,196.695862,336.9930218,501.9782493,183
"1414","K",2017-07-03,"st11U",340,85,197.6019132,347.7174286,504.3873958,184
"1415","K",2017-07-04,"st11U",340,85,203.0860274,357.8984201,512.5716138,185
"1416","K",2017-07-05,"st11U",340,85,198.2318719,350.3099011,514.5201833,186
"1417","K",2017-07-06,"st11U",340,85,195.4187109,352.4340262,507.2964293,187
"1418","K",2017-07-07,"st11U",340,85,189.7675444,343.1130386,514.2621771,188
