"","stream","X","date","max.DS.spcon.time","Q_DS","Q_US","temp_DS","temp_US","ttS","Qt_Qb","DS_stdSlope","US_stdSlope","Pdt","Date","Time","Release","int","slope","int_se","slope_se","lin_p","df.res","r2","streamR","QPdt","DaysRmQ","lg_m","ttSlope","ttSlopeSE","ttInt","ttIntSE","ttLmR2","ttLmPval","ttSmean","sig","predTtS","ttStoUse","Vms","KSF6","KO2_ambT","K_O2_T20"
"23","st6",23,"5/1/12","2012-05-01 11:12:39",18.45,16.65,14.1,14,285,0.9,0.38,0.4,"2012-04-30 15:00:00","4/30/12","15:00",2,-1.69145335056408,-0.0138148459993229,0.035996546249879,0.00118387916058533,7.90481016328909e-10,18,0.88324479571511,"st6","2012-05-01 11:12:39",-0.842118055555556,87,-1.14373202888423,0.26395549294915,3.99555967240726,0.307425667382669,0.675971234300762,0.00189663061394583,744.636363636364,"S",352.857274297061,285,0.305263157894737,0.00421716351558278,0.00590402892181589,586.721445971394
"24","st6",24,"10/19/12","2012-10-19 13:38:15",19.98,18.18,14.6,14.6,279,0.91,0.32,0.33,"2012-10-19 15:15:00","10/19/12","15:15",15,3.03626694083687,-0.0146919943036416,0.0526958083610734,0.000856587665108546,1.34158420121498e-12,18,0.942341548462047,"st6","2012-10-19 13:38:15",0.0671875,87,-1.14373202888423,0.26395549294915,3.99555967240726,0.307425667382669,0.675971234300762,0.00189663061394583,744.636363636364,"S",322.126876039286,279,0.311827956989247,0.00458137456780222,0.00641392439492311,629.879312287759
"25","st6",25,"5/8/13","2013-05-08 14:29:00",7.205105367,3.643184521,19.21521008,18.84778859,1005,0.505639312,NA,NA,"2013-05-08 16:32:00","5/8/13","16:32",27,1.76500810715042,-0.0168225974328873,0.0587172751127085,0.000954468584022811,8.43681587740893e-13,18,0.945229471544795,"st6","2013-05-08 14:29:00",0.0854166666666667,87,-1.14373202888423,0.26395549294915,3.99555967240726,0.307425667382669,0.675971234300762,0.00189663061394583,744.636363636364,"S",1034.30577731824,1005,0.0865671641791045,0.00145628455389174,0.00203879837544843,179.461512429335
"26","st6",26,"5/11/13","2013-05-11 10:48:00",9.421247586,6.873998491,15.75421434,15.96170024,621,0.729627199,NA,NA,"2013-05-11 11:12:00","5/11/13","11:12",32,1.80084166936022,-0.0196112196286982,0.0872617969510486,0.00138255271651523,7.48933863852838e-11,17,0.922092775324795,"st6","2013-05-11 10:48:00",0.0166666666666667,87,-1.14373202888423,0.26395549294915,3.99555967240726,0.307425667382669,0.675971234300762,0.00189663061394583,744.636363636364,"S",761.098167479086,621,0.140096618357488,0.00274746555184661,0.00384645177258525,367.540703471637
"27","st7",27,"5/1/12","2012-05-01 14:15:42",6.84,6.85,10.3,9.7,171,1,0.26,0.27,"2012-04-29 13:35:00","4/29/12","13:35",1,-4.8173986190493,-0.0301011458308688,0.0714930420725464,0.00404425718857222,6.74353081293558e-07,18,0.754759339325769,"st7","2012-05-01 14:15:42",-2.02826388888889,29,-0.655099664531641,0.0521584906200862,2.74519155941917,0.0419523686807735,0.863199831642035,2.68620916694934e-12,227.333333333333,"S",157.814385034651,171,0.169590643274854,0.00510487268476722,0.00714682175867411,777.206229361247
"28","st7",28,"7/30/12","2012-07-30 16:33:06",2.16,2.07,14.8,14.4,579,0.96,0.28,0.27,"2012-07-30 18:45:00","7/30/12","18:45",10,-5.52648102538289,-0.0172262086411402,0.0675587991553318,0.00338485032488566,9.0959268082498e-05,17,0.60372999116104,"st7","2012-07-30 16:33:06",0.0915972222222222,29,-0.655099664531641,0.0521584906200862,2.74519155941917,0.0419523686807735,0.863199831642035,2.68620916694934e-12,227.333333333333,"S",335.807985352477,579,0.0500863557858377,0.000862798014841219,0.00120791722077771,118.062150568182
"29","st7",29,"10/24/12","2012-10-24 13:34:09",3.91,3.32,12.2,12.2,216,0.85,0.32,0.32,"2012-10-24 14:25:00","10/24/12","14:25",17,1.40839641682193,-0.0471433153714688,0.099558655870597,0.00485507590978738,1.40174228976005e-08,18,0.839695368661196,"st7","2012-10-24 13:34:09",0.0353125,29,-0.655099664531641,0.0521584906200862,2.74519155941917,0.0419523686807735,0.863199831642035,2.68620916694934e-12,227.333333333333,"S",227.644291535857,216,0.134259259259259,0.00632942660079905,0.00886119724111867,921.182773500806
"30","st7",30,"5/7/13","2013-05-07 11:57:00",2.396658664,2.198132413,12.56462179,13.10491325,357,0.917165405,NA,NA,"2013-05-07 13:03:00","5/7/13","13:03",24,0.601010164165151,-0.0338431182762379,0.0720269216810566,0.00351246377577017,1.5774469819248e-08,18,0.83759808518067,"st7","2013-05-07 11:57:00",0.0458333333333333,29,-0.655099664531641,0.0521584906200862,2.74519155941917,0.0419523686807735,0.863199831642035,2.68620916694934e-12,227.333333333333,"S",313.697945679612,357,0.0812324929971989,0.00274916086837787,0.00384882521572902,396.666939003624
"31","st7",31,"5/11/13","2013-05-11 12:04:00",3.067515602,2.895315395,13.64248244,13.20750195,339,0.943863298,NA,NA,"2013-05-11 12:40:00","5/11/13","12:40",33,0.833565494101999,-0.0422347437501158,0.0452828373405873,0.00220826216240667,2.08063443631373e-13,18,0.953100034275045,"st7","2013-05-11 12:04:00",0.025,29,-0.655099664531641,0.0521584906200862,2.74519155941917,0.0419523686807735,0.863199831642035,2.68620916694934e-12,227.333333333333,"S",266.868738643204,339,0.0855457227138643,0.00361300167773852,0.00505820234883393,508.150195031185
"32","st8",32,"5/1/12","2012-05-01 13:13:51",25,22.96,19.5,19.8,162,0.92,0.36,0.37,"2012-04-30 10:20:00","4/30/12","10:20",3,-2.52312192999168,-0.0332486208538113,0.056723248319053,0.00276616507154006,4.91461870913661e-10,18,0.889213358091205,"st8","2012-05-01 13:13:51",-1.12072916666667,39,-0.422616599289011,0.188237279594297,2.85229068450348,0.270213587190571,0.418633393909856,0.0596251883013786,181.444444444444,"NS",181.444444444444,162,0.240740740740741,0.00800429761295457,0.0112060166581364,979.749351129585
"33","st8",33,"10/25/12","2012-10-25 12:04:54",25.17,28.31,20.5,20.9,243,1.12,NA,NA,"2012-10-25 12:50:00","10/25/12","12:50",18,2.79020593399837,-0.0183685262672284,0.0487115759220608,0.00176637362342424,4.87481553043499e-09,18,0.857300599910737,"st8","2012-10-25 12:04:54",0.0313194444444444,39,-0.422616599289011,0.188237279594297,2.85229068450348,0.270213587190571,0.418633393909856,0.0596251883013786,181.444444444444,"NS",181.444444444444,243,0.160493827160494,0.00294803507992555,0.00412724911189576,352.390706941439
"34","st8",34,"5/7/13","2013-05-07 13:45:00",21.83056912,21.48853464,21.10383451,21.50177598,204,0.984332315,NA,NA,"2013-05-07 14:33:00","5/7/13","14:33",25,2.22327595177617,-0.0296277712336936,0.0603498867144485,0.00218840072510905,7.07155017653048e-11,18,0.910577809860582,"st8","2013-05-07 13:45:00",0.0333333333333333,39,-0.422616599289011,0.188237279594297,2.85229068450348,0.270213587190571,0.418633393909856,0.0596251883013786,181.444444444444,"NS",181.444444444444,204,0.191176470588235,0.00566413273585319,0.00792978583019446,667.43004481888
"35","st9",35,"6/4/12","2012-06-04 12:06:42",2.45,2.32,16.5,16,534,0.95,0.32,0.33,"2012-06-04 14:00:00","6/4/12","14:00",6,-2.96099288579958,-0.047011640148522,0.0602541143200006,0.00207834599171034,1.13908272559923e-14,18,0.966015454241594,"st9","2012-06-04 12:06:42",0.0786805555555555,41,-1.05784238345688,0.11140895902867,3.21405305533467,0.0729405229192295,0.909235275862616,5.49791184875129e-06,584.545454545455,"S",634.419724627846,534,0.0767790262172285,0.00360950795147828,0.00505331113206959,474.394482491406
"36","st9",36,"10/25/12","2012-10-25 15:14:21",1.82,1.75,10.8,11.3,735,0.96,NA,NA,"2012-10-25 19:00:00","10/25/12","19:00",19,2.04569677365333,-0.0371456161619753,0.0520814026905396,0.00179644453737502,5.4162563795969e-14,18,0.959600546936456,"st9","2012-10-25 15:14:21",0.156701388888889,41,-1.05784238345688,0.11140895902867,3.21405305533467,0.0729405229192295,0.909235275862616,5.49791184875129e-06,584.545454545455,"S",868.837422205443,735,0.0557823129251701,0.00207206838454556,0.00290089573836379,311.749283202561
"37","st9",37,"5/9/13","2013-05-09 13:01:00",2.432151481,NA,13.99061658,NA,NA,NA,NA,NA,"2013-05-09 15:09:00","5/9/13","15:09",29,2.02676563098597,-0.0548525030094381,0.0415477087846341,0.00147237612949494,9.69505054573551e-18,17,0.987899417230102,"st9","2013-05-09 13:01:00",0.0888888888888889,41,-1.05784238345688,0.11140895902867,3.21405305533467,0.0729405229192295,0.909235275862616,5.49791184875129e-06,584.545454545455,"S",639.345801210977,639.345801210977,0.064128050770557,0.00351758409788138,0.00492461773703393,490.662261377673
"38","st9",38,"5/11/13","2013-05-11 13:31:00",2.848599939,2.637387827,11.87295324,12.04228059,549,0.925854063,NA,NA,"2013-05-11 14:16:00","5/11/13","14:16",34,2.20535307159995,-0.062356812805473,0.0631002842555878,0.0021765189703378,1.80712536117027e-16,18,0.978541041235389,"st9","2013-05-11 13:31:00",0.03125,41,-1.05784238345688,0.11140895902867,3.21405305533467,0.0729405229192295,0.909235275862616,5.49791184875129e-06,584.545454545455,"S",540.909522886433,549,0.0746812386156648,0.00465688401643787,0.00651963762301302,683.038885761558
